"","Kingdom","Phylum","Class","Order","Family","Genus","Species","BNW-DC","BNW-PC1","BNW-PC2","BNW-PC3","BNW-PC4","BNW-SI","BNW-ST","SHNW-DC1","SHNW-DC3","SHNW-DSI","SHNW-PC1","SHNW-PC2","SHNW-PC3","SHNW-PSI","SHNW-ST"
"bffc2cbc5f9c1f1a1c5cdbc24e1d60ed","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA,0,0,0,0,0,0,0,1.93277798179323e-05,0,0,0,1.24854856229633e-05,6.03020584929967e-05,0,0
"2f4f2d2224bb0ae1f9b7fdb1237e2bb8","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae",NA,NA,0,6.6622621711202e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"8bb8e816736cb1d7c5dbfcb424a1701c","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,0,0,0,0,0,0,0,1.93277798179323e-05,2.74404131428603e-05,0,0,2.49709712459266e-05,1.09640106350903e-05,0,0
"531a74da957c38834e0bba6cd0071643","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000760646549567132
"9f2996d79d0ecf21317ea2957b18f4fb","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000490416854326177
"e5304e2858cc1262266691d12a0befbf","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380323274783566
"3a5e66b075509675df5cf771f4063314","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,0,0,0,0,0,0,0.00287605642854848,0,0,1.29492583312291e-05,0,0,0,7.88536926057766e-05,0.0112996046639644
"766ad6dac43131576673982906052c1e","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000280238202472101
"367912d7c2d1f65d5aaf30a7572494f0","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,0,0,0,0,0,0,0,0,0,4.53224041593018e-05,0,0,0,0,0.00149126757744082
"ec28f5576ed2fb3cf41cb5e14f838377","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085072311464745
"32fac56492aa49cc4e5b4f8d6a06cd34","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncultured",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100085072311465
"fbb3e70b81324cd105c024099bb65874","d__Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017014462292949
"df14cf696c41213564bc2679bfb57b36","d__Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25296264587933e-05,0.00100085072311465
"6989561122eb837d5c41f2ffba82177c","d__Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530450883250763
